StudentID,Gender,Age,ParentEducation,InternetAccess,StudyHoursPerWeek,Absences,PriorFailures,FinalGrade
2001,Male,20,Associate,Unknown,17,27,2,49
2002,Female,18,High School,No,10,28,0,39
2003,Male,20,Master,No,15,22,1,69
2004,Female,18,Master,Unknown,17,23,1,69
2005,Female,20,Master,No,12,8,2,46
2006,Male,25,High School,No,4,29,3,27
2007,Female,18,Master,No,7,20,1,43
2008,Female,21,Unknown,Unknown,24,19,3,67
2009,Female,25,Unknown,Yes,13,22,3,50
2010,Male,18,Master,Unknown,13,27,3,33
2011,Female,23,Bachelor,Unknown,14,13,1,67
2013,Male,24,Associate,Yes,11,28,1,37
2014,Male,18,Bachelor,Yes,3,19,4,28
2015,Female,25,Unknown,Unknown,11,14,4,28
2017,Female,26,Associate,Unknown,14,24,3,35
2018,Male,19,Unknown,Yes,18,19,3,54
2019,Male,18,Master,Yes,6,22,2,31
2020,Female,19,Master,Yes,20,26,0,87
2021,Female,25,Associate,No,13,2,4,40
2022,Female,23,High School,No,17,20,4,56
2023,Male,21,Associate,Unknown,17,26,3,40
2024,Female,18,Associate,Yes,8,7,1,67
2025,Male,22,Bachelor,Unknown,18,19,3,47
2026,Female,26,Master,Unknown,12,11,4,62
2027,Male,22,Master,Unknown,15,21,3,46
2028,Male,21,Unknown,Yes,4,4,1,45
2029,Female,23,Bachelor,No,4,0,3,40
2030,Female,19,Master,Unknown,16,8,4,72
2031,Female,26,Bachelor,Yes,7,16,2,53
2033,Female,19,Bachelor,No,15,2,3,58
2034,Female,23,Master,No,17,28,2,56
2035,Female,26,Associate,Unknown,9,17,4,13
2036,Male,26,High School,Yes,1,5,1,35
2037,Female,22,High School,No,20,11,1,69
2038,Female,24,Master,No,14,21,4,34
2039,Male,26,Bachelor,No,13,5,1,77
2040,Female,25,Associate,Yes,8,3,2,46
2041,Male,20,Master,Unknown,2,21,0,51
2042,Male,18,High School,No,10,20,4,22
2043,Female,18,High School,Yes,22,18,3,55
2044,Male,23,High School,No,7,25,4,40
2045,Male,21,High School,No,17,2,4,59
2046,Male,23,High School,Unknown,15,13,1,59
2047,Male,23,Bachelor,No,12,21,1,52
2048,Female,20,Associate,No,20,1,3,75
2049,Female,20,Bachelor,Yes,7,10,2,57
2050,Female,25,Associate,No,12,8,2,66
2051,Female,21,Bachelor,No,1,5,4,39
2052,Female,19,Master,Yes,22,8,1,85
2053,Female,21,High School,Yes,23,17,2,51
2054,Male,21,Master,No,8,19,0,63
2055,Male,24,Associate,Yes,2,16,1,50
2056,Female,20,Associate,Yes,20,20,2,52
2057,Female,21,Unknown,Unknown,15,29,1,38
2058,Female,19,High School,No,2,20,2,13
2059,Female,26,High School,No,12,10,1,58
2060,Male,18,Associate,Yes,18,8,4,59
2061,Female,20,Unknown,No,7,27,2,48
2062,Male,21,High School,No,10,18,2,48
2063,Female,25,High School,No,2,20,1,43
2064,Male,20,Master,No,3,2,4,25
2065,Female,25,Bachelor,Yes,14,1,4,57
2066,Female,25,Unknown,Yes,16,26,3,48
2067,Male,19,Associate,Unknown,23,23,3,45
2068,Female,22,Bachelor,No,13,2,0,84
2069,Female,25,Master,No,4,19,3,45
2070,Female,22,Associate,Unknown,13,16,2,71
2071,Female,25,Associate,Yes,19,20,1,82
2072,Female,26,Master,No,13,21,0,64
2073,Male,18,High School,Unknown,21,23,3,33
2074,Male,20,High School,No,7,10,3,46
2075,Female,25,Bachelor,Yes,14,16,0,78
2076,Female,22,Unknown,No,13,28,3,33
2077,Female,21,High School,No,16,11,3,59
2078,Female,25,Unknown,No,18,2,3,61
2079,Female,21,Associate,Yes,20,22,0,95
2080,Female,25,Master,Yes,13,13,2,70
2081,Female,18,Bachelor,No,8,24,0,59
2084,Female,26,Unknown,Yes,24,6,2,81
